date,pet_count,leave,caretaker,available
6/25/2019,1,FALSE,nkilloughf,TRUE
6/26/2019,3,FALSE,nkilloughf,TRUE
6/27/2019,4,FALSE,nkilloughf,TRUE
6/25/2019,2,FALSE,ckitleeg,TRUE
6/26/2019,0,TRUE,ckitleeg,FALSE
6/27/2019,0,FALSE,ckitleeg,TRUE
6/25/2019,4,FALSE,asconesh,TRUE
6/26/2019,4,FALSE,asconesh,TRUE
6/27/2019,3,FALSE,asconesh,TRUE
6/25/2019,0,FALSE,sgiacomozzoi,TRUE
6/26/2019,3,FALSE,sgiacomozzoi,TRUE
6/27/2019,5,FALSE,sgiacomozzoi,FALSE
6/25/2019,0,TRUE,imichelottij,FALSE
6/26/2019,2,FALSE,imichelottij,TRUE
6/27/2019,2,FALSE,imichelottij,TRUE
6/25/2019,4,FALSE,sbaylyk,TRUE
6/26/2019,3,FALSE,sbaylyk,TRUE
6/27/2019,4,FALSE,sbaylyk,TRUE
6/25/2019,1,FALSE,vstonehewerl,TRUE
6/26/2019,3,FALSE,vstonehewerl,TRUE
6/27/2019,2,FALSE,vstonehewerl,TRUE
6/25/2019,4,FALSE,bmcgrottym,TRUE
6/26/2019,2,FALSE,bmcgrottym,TRUE
6/27/2019,2,FALSE,bmcgrottym,TRUE
6/25/2019,4,FALSE,gkingmann,TRUE
6/26/2019,2,FALSE,gkingmann,TRUE
6/27/2019,4,FALSE,gkingmann,TRUE
6/25/2019,2,FALSE,fsoallo,TRUE
6/26/2019,3,FALSE,fsoallo,TRUE
6/27/2019,3,FALSE,fsoallo,TRUE
6/25/2019,3,FALSE,dblaymiresp,TRUE
6/26/2019,2,FALSE,dblaymiresp,TRUE
6/27/2019,0,TRUE,dblaymiresp,FALSE
6/25/2019,2,FALSE,lsteelsq,TRUE
6/26/2019,1,FALSE,lsteelsq,TRUE
6/27/2019,3,FALSE,lsteelsq,TRUE
6/25/2019,5,FALSE,nparkhouser,FALSE
6/26/2019,2,FALSE,nparkhouser,TRUE
6/27/2019,2,FALSE,nparkhouser,TRUE
6/25/2019,5,FALSE,deams,FALSE
6/26/2019,2,FALSE,deams,TRUE
6/27/2019,2,FALSE,deams,TRUE
6/25/2019,4,FALSE,jtrenchert,TRUE
6/26/2019,2,FALSE,jtrenchert,TRUE
6/27/2019,5,FALSE,jtrenchert,FALSE
